

('Nike Men Blue T20 Indian Cricket Jersey', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/1.jpg', 10, 'nike-men-blue-t20-indian-cricket-jersey'),
('Classic Polo Mens  T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Purple', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/380.jpg', 10, 'classic-polo-mens-t-shirt'),
('Classic Polo Mens Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/381.jpg', 10, 'classic-polo-mens-blue-t-shirt'),
('Classic Polo Mens Black-Grey T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/382.jpg', 10, 'classic-polo-mens-black-grey-t-shirt'),
('Classic Polo Mens Plane Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/383.jpg', 10, 'classic-polo-mens-plane-black-t-shirt'),
('Classic Polo Mens  T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/384.jpg', 10, 'classic-polo-mens-t-shirt'),
('Classic Polo Mens Light Grey T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/385.jpg', 10, 'classic-polo-mens-light-grey-t-shirt'),
('Ediots Mens Imagination Important Green T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/386.jpg', 10, 'ediots-mens-imagination-important-green-t-shirt'),
('Ediots   T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/387.jpg', 10, 'ediots-t-shirt'),
('Ediots Mens God Loves PPL Turquoise T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Winter', 'Nam', 'Áo', '11', '20', 'upload/388.jpg', 10, 'ediots-mens-god-loves-ppl-turquoise-t-shirt'),
('Ediots Mens Who Cares Purple T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Purple', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/389.jpg', 10, 'ediots-mens-who-cares-purple-t-shirt'),
('Ediots Mens Who Cares Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/390.jpg', 10, 'ediots-mens-who-cares-black-t-shirt'),
('Ediots Mens Bajau Kya Radio Red T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/391.jpg', 10, 'ediots-mens-bajau-kya-radio-red-t-shirt'),
('Ediots Mens Bajau Kya Radio Turquoise T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/392.jpg', 10, 'ediots-mens-bajau-kya-radio-turquoise-t-shirt'),
('Ediots Mens Zindagi Jhand Hai Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/393.jpg', 10, 'ediots-mens-zindagi-jhand-hai-black-t-shirt'),
('Ediots Mens Mehenat Ka Fal White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/394.jpg', 10, 'ediots-mens-mehenat-ka-fal-white-t-shirt'),
('Ediots Mens Lega Kya Photu Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/395.jpg', 10, 'ediots-mens-lega-kya-photu-black-t-shirt'),
('Ediots Mens Chronological Status Yellow T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Yellow', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/396.jpg', 10, 'ediots-mens-chronological-status-yellow-t-shirt'),
('Mr.Men Mens Mr.Mischief Dark Grey T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/397.jpg', 10, 'mr-men-mens-mr-mischief-dark-grey-t-shirt'),
('Mr.Men Mens Mr.Mischief Wine T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Purple', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/398.jpg', 10, 'mr-men-mens-mr-mischief-wine-t-shirt'),
('Mr.Men Maroon T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Maroon', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/399.jpg', 10, 'mr-men-maroon-t-shirt'),
('Mr.Men Mens Mr.Happy Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/400.jpg', 10, 'mr-men-mens-mr-happy-blue-t-shirt'),
('Mr.Men Mens Its Gonna Get Messy White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/401.jpg', 10, 'mr-men-mens-its-gonna-get-messy-white-t-shirt'),
('Mr.Men Mens Its Gonna Get Messy Grey T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/402.jpg', 10, 'mr-men-mens-its-gonna-get-messy-grey-t-shirt'),
('Mr.Men Mens Mr.Mischief Grey T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/403.jpg', 10, 'mr-men-mens-mr-mischief-grey-t-shirt'),
('Mr.Men Mens Mr.Mischief Pink T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Pink', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/404.jpg', 10, 'mr-men-mens-mr-mischief-pink-t-shirt'),
('Mr.Men Mens Mr.Busy Navy T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Navy Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/405.jpg', 10, 'mr-men-mens-mr-busy-navy-t-shirt'),
('Mr.Men Mens Mr.Noisy Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/406.jpg', 10, 'mr-men-mens-mr-noisy-blue-t-shirt'),
('Mr.Men Mens Mr.Cool Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/407.jpg', 10, 'mr-men-mens-mr-cool-black-t-shirt'),
('Mr.Men Mens Is There More Love Purple T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Purple', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/408.jpg', 10, 'mr-men-mens-is-there-more-love-purple-t-shirt'),
('Mr.Men Mens Mr.Messy Purple T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Purple', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/409.jpg', 10, 'mr-men-mens-mr-messy-purple-t-shirt'),
('Mr.Men Mens Mr.Messy Lt Grey T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/410.jpg', 10, 'mr-men-mens-mr-messy-lt-grey-t-shirt'),
('Mr.Men Mens Mr.Funny Grey T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/411.jpg', 10, 'mr-men-mens-mr-funny-grey-t-shirt'),
('Mr.Men Mens Just Mediating Mr.Lazy Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/412.jpg', 10, 'mr-men-mens-just-mediating-mr-lazy-blue-t-shirt'),
('Mr.Men Mens What Me Rude Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/413.jpg', 10, 'mr-men-mens-what-me-rude-blue-t-shirt'),
('Mr.Men Printed White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/414.jpg', 10, 'mr-men-printed-white-t-shirt'),
('Mr.Men Mens Less Work More Sleep Green T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/415.jpg', 10, 'mr-men-mens-less-work-more-sleep-green-t-shirt'),
('Mr.Men Mens Is There More Love Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/416.jpg', 10, 'mr-men-mens-is-there-more-love-black-t-shirt'),
('Mr.Men Mens Mr.Happy Grey T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/417.jpg', 10, 'mr-men-mens-mr-happy-grey-t-shirt'),
('Mr.Men Mens Mr.Busy Grey T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/418.jpg', 10, 'mr-men-mens-mr-busy-grey-t-shirt'),
('Mr.Men Mens Mr.Cool Grey T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/419.jpg', 10, 'mr-men-mens-mr-cool-grey-t-shirt'),
('Mr.Men Mens Mr.Cool Wine T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Purple', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/420.jpg', 10, 'mr-men-mens-mr-cool-wine-t-shirt'),
('Inkfruit Mens Rising Soccer T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/421.jpg', 10, 'inkfruit-mens-rising-soccer-t-shirt'),
('Inkfruit Mens I am Hooked Green T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/422.jpg', 10, 'inkfruit-mens-i-am-hooked-green-t-shirt'),
('Inkfruit Mens Stumped Navy Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Navy Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/423.jpg', 10, 'inkfruit-mens-stumped-navy-blue-t-shirt'),
('Inkfruit Mens Kick Off T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/424.jpg', 10, 'inkfruit-mens-kick-off-t-shirt'),
('Inkfruit Mens Men in Blue White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/425.jpg', 10, 'inkfruit-mens-men-in-blue-white-t-shirt'),
('Inkfruit Mens Three Side Cricket T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Purple', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/426.jpg', 10, 'inkfruit-mens-three-side-cricket-t-shirt'),
('Inkfruit Mens Just bowl It Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/427.jpg', 10, 'inkfruit-mens-just-bowl-it-black-t-shirt'),
('Inkfruit Mens Not Just a Game T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/428.jpg', 10, 'inkfruit-mens-not-just-a-game-t-shirt'),
('DUSG Mens Bharatpur Organic Cotton Green T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/429.jpg', 10, 'dusg-mens-bharatpur-organic-cotton-green-t-shirt'),
('DUSG Mens Sunderbans Organic Natural T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/430.jpg', 10, 'dusg-mens-sunderbans-organic-natural-t-shirt'),
('DUSG Mens Sariska Organic Olive T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/431.jpg', 10, 'dusg-mens-sariska-organic-olive-t-shirt'),
('DUSG Mens Earth Warrior Organic Natural T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/432.jpg', 10, 'dusg-mens-earth-warrior-organic-natural-t-shirt'),
('DUSG Mens Burning Tiger Bamboo Natural T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/433.jpg', 10, 'dusg-mens-burning-tiger-bamboo-natural-t-shirt'),
('DUSG Mens Tortoise Organic Aqua T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/434.jpg', 10, 'dusg-mens-tortoise-organic-aqua-t-shirt'),
('DUSG Mens Gorilla Organic Natural T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/435.jpg', 10, 'dusg-mens-gorilla-organic-natural-t-shirt'),
('Puma Mens Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/436.jpg', 10, 'puma-mens-black-t-shirt'),
('Puma Mens White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/437.jpg', 10, 'puma-mens-white-t-shirt'),
('Puma Mens Sless Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/438.jpg', 10, 'puma-mens-sless-black-t-shirt'),
('Puma Mens Sless White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/439.jpg', 10, 'puma-mens-sless-white-t-shirt'),
('Puma Mens Heroes Yellow T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Yellow', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/440.jpg', 10, 'puma-mens-heroes-yellow-t-shirt'),
('Puma Mens Lifestyle Heritage Blue Polo T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/441.jpg', 10, 'puma-mens-lifestyle-heritage-blue-polo-t-shirt'),
('Puma Mens Jersey Black Polo T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/442.jpg', 10, 'puma-mens-jersey-black-polo-t-shirt'),
('Puma Mens Tee2 White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/443.jpg', 10, 'puma-mens-tee2-white-t-shirt'),
('Puma Mens Hawaian Ocan Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/444.jpg', 10, 'puma-mens-hawaian-ocan-blue-t-shirt'),
('Puma Mens Power Cat Graphic Red T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/445.jpg', 10, 'puma-mens-power-cat-graphic-red-t-shirt'),
('Puma Mens Football Smash Graphic Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/446.jpg', 10, 'puma-mens-football-smash-graphic-black-t-shirt'),
('Puma Mens Splatter Green T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/447.jpg', 10, 'puma-mens-splatter-green-t-shirt'),
('DUSG Mens Freedom Organic Cotton Red T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/448.jpg', 10, 'dusg-mens-freedom-organic-cotton-red-t-shirt'),
('Lee Men Edward Black Shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/449.jpg', 10, 'lee-men-edward-black-shirt'),
('Lee Men Edward White Shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/450.jpg', 10, 'lee-men-edward-white-shirt'),
('Lee Men Xavier Green White Check Shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/451.jpg', 10, 'lee-men-xavier-green-white-check-shirt'),
('Lee Men Arnold Black Grey Check Shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/452.jpg', 10, 'lee-men-arnold-black-grey-check-shirt'),
('Lee Mens Live Purple T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Purple', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/453.jpg', 10, 'lee-mens-live-purple-t-shirt'),
('Lee Mens Panama Pink T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Pink', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/454.jpg', 10, 'lee-mens-panama-pink-t-shirt'),
('Lee Mens Bottle Grey T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Beige', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/455.jpg', 10, 'lee-mens-bottle-grey-t-shirt'),
('Lee Mens Salina Light Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/456.jpg', 10, 'lee-mens-salina-light-blue-t-shirt'),
('Lee Mens Believe Chocolate T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/457.jpg', 10, 'lee-mens-believe-chocolate-t-shirt'),
('Lee Mens Slash White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/458.jpg', 10, 'lee-mens-slash-white-t-shirt'),
('Lee Mens Mayor Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/459.jpg', 10, 'lee-mens-mayor-blue-t-shirt'),
('Lee Mens March Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/460.jpg', 10, 'lee-mens-march-blue-t-shirt'),
('Lee Mens Shot Midnight Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/461.jpg', 10, 'lee-mens-shot-midnight-blue-t-shirt'),
('Nike Blue Take Down Cricket Tshirts', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Fall', 'Nam', 'Áo', '11', '20', 'upload/462.jpg', 10, 'nike-blue-take-down-cricket-tshirts'),
('Tantra Mens Freddie Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/463.jpg', 10, 'tantra-mens-freddie-blue-t-shirt'),
('Tantra Mens Tiger Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/464.jpg', 10, 'tantra-mens-tiger-black-t-shirt'),
('Tantra Mens Dirty Man Burgendy T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Maroon', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/465.jpg', 10, 'tantra-mens-dirty-man-burgendy-t-shirt'),
('Tantra Mens Dirty Man Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/466.jpg', 10, 'tantra-mens-dirty-man-blue-t-shirt'),
('Tantra Mens Rupee White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/467.jpg', 10, 'tantra-mens-rupee-white-t-shirt'),
('Tantra Mens Rupee Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/468.jpg', 10, 'tantra-mens-rupee-black-t-shirt'),
('Tantra Mens Love India White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/469.jpg', 10, 'tantra-mens-love-india-white-t-shirt'),
('Tantra Mens Time Zone Yellow T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Yellow', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/470.jpg', 10, 'tantra-mens-time-zone-yellow-t-shirt'),
('Tantra Mens Stop Train Violet T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Purple', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/471.jpg', 10, 'tantra-mens-stop-train-violet-t-shirt'),
('Tantra Mens Who Farted Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/472.jpg', 10, 'tantra-mens-who-farted-blue-t-shirt'),
('Tantra Mens Right Now Green T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/473.jpg', 10, 'tantra-mens-right-now-green-t-shirt'),
('Tantra Men Purple T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Purple', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/474.jpg', 10, 'tantra-men-purple-t-shirt'),
('Tantra Men Cut The Crap Green T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/475.jpg', 10, 'tantra-men-cut-the-crap-green-t-shirt'),
('Tantra Mens Cut The Crap Red T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/476.jpg', 10, 'tantra-mens-cut-the-crap-red-t-shirt'),
('Tantra Mens Super Heros Chocolate T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Brown', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/477.jpg', 10, 'tantra-mens-super-heros-chocolate-t-shirt'),
('Tantra Mens Imagine Beige T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Beige', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/478.jpg', 10, 'tantra-mens-imagine-beige-t-shirt'),
('Tantra Mens E BO Yellow T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Yellow', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/479.jpg', 10, 'tantra-mens-e-bo-yellow-t-shirt'),
('Tantra Mens Vegetarian Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/480.jpg', 10, 'tantra-mens-vegetarian-blue-t-shirt'),
('Tantra Mens Beer Addict Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/481.jpg', 10, 'tantra-mens-beer-addict-blue-t-shirt'),
('Tantra Mens Arrest Yellow T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Yellow', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/482.jpg', 10, 'tantra-mens-arrest-yellow-t-shirt'),
('Probase Mens Collage Turquoise T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/483.jpg', 10, 'probase-mens-collage-turquoise-t-shirt'),
('Probase Mens Player Green T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/484.jpg', 10, 'probase-mens-player-green-t-shirt'),
('Probase Mens Player Pink T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Pink', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/485.jpg', 10, 'probase-mens-player-pink-t-shirt'),
('Probase Mens Bike White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/486.jpg', 10, 'probase-mens-bike-white-t-shirt'),
('Probase Mens Bike Grey T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/487.jpg', 10, 'probase-mens-bike-grey-t-shirt'),
('Probase Mens Cartoon Navy T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Navy Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/488.jpg', 10, 'probase-mens-cartoon-navy-t-shirt'),
('Probase Mens Cartoon Red T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/489.jpg', 10, 'probase-mens-cartoon-red-t-shirt'),
('Probase Mens Standing Out Yellow T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Yellow', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/490.jpg', 10, 'probase-mens-standing-out-yellow-t-shirt'),
('Probase Mens  T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Navy Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/491.jpg', 10, 'probase-mens-t-shirt'),
('Probase Mens Dreams Future Grey T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Grey', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/492.jpg', 10, 'probase-mens-dreams-future-grey-t-shirt'),
('Probase Mens Dead Tired Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/493.jpg', 10, 'probase-mens-dead-tired-black-t-shirt'),
('Probase Mens Freestyler Red T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Red', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/494.jpg', 10, 'probase-mens-freestyler-red-t-shirt'),
('Probase Mens Spirit White T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'White', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/495.jpg', 10, 'probase-mens-spirit-white-t-shirt'),
('Probase Mens Spirit Green T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Green', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/496.jpg', 10, 'probase-mens-spirit-green-t-shirt'),
('Probase Mens Spirit Blue T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Blue', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/497.jpg', 10, 'probase-mens-spirit-blue-t-shirt'),
('Probase Mens Boarding Black T-shirt', 'Mô tả', 'Mô tả chi tiết', 150000, 'Black', 'Summer', 'Nam', 'Áo', '11', '20', 'upload/498.jpg', 10, 'probase-mens-boarding-black-t-shirt'),
